"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1579","Hootel Login","test","2026-09-14","passed","2026-09-14","TestHootel","test_hootel","",""
"Egy oldalon megjelenitett szallashelyek szama","1100","Szallashelyek listazasa","test","2026-09-14","passed","2026-09-14","TestHootel","test_hootel","",""
