"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1108","test_hotel_list","test","2026-09-14","passed","2026-09-14","TestHootel","test_hootel","",""
"A belépés tesztelése","1548","Hootel Login","test","2026-09-14","passed","2026-09-14","TestHootel","test_hootel","",""
